SiteCode,Methodology,kingdom,phylum,class,subclass,order,Family ,subfamily,tribe,Genus ,species,comments,abundance 
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Coleoptera,Elmidae,,,Hexanchorus,Hexanchorucordillierae,,15
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Coleoptera,Psephenidae,,,,,,1040
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,,,,,,,109
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,,,,,,3176
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,Chironominae,Tanytarsini,Micropsectra,,comm_prob_not_in_Ecu,105
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,Chironominae,Tanytarsini,Tanytarsus,,,74
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,Orthocladiinae,,,,,83
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,Orthocladiinae,,Corynoneura,,,60
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,Orthocladiinae,,Cricotopus,,,1229
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,Orthocladiinae,,Thienemanniella,,,103
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Empididae,,,,,,75
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Phoridae,,,,,,77
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Tipulidae,,,,,,238
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Ephemeroptera,,,,,,,137
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Ephemeroptera,Baetidae,,,,,,1275
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Ephemeroptera,Leptophlebiidae,,,,,,10
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Megaloptera,Corydalidae,,,Corydalus,,,329
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Megaloptera,Corydalidae,,,Corydalus,Corydalus_flavicornis,,98
EC20210920-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Trichoptera,Hydroptilidae,,,,,,2
EC20210921-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,,,,,,8241
EC20210921-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,,,Diamesa,,,14
EC20210921-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Ephemeroptera,Baetidae,,,,,,4024
EC20210921-2K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Trichoptera,Leptoceridae,,,Nectopsyche,Nectopsyche_pavida,,164
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Coleoptera,,,,,,,364
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Coleoptera,Elmidae,,,,,,78
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Coleoptera,Elmidae,,,Notelmis,,,162
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,,,,,,,680
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,,,,,,2650
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,,,Corynoneura,,,134
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,,,Cricotopus,,,17
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,,,Rheotanytarsus,,,48
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,,,Tanytarsus,,,84
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Dolichopodidae,,,,,,35
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Empididae,,,Neoplasta,,,9
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Muscidae,,,,,,208
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Psychodidae,,,,,,813
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Simuliidae,,,Simulium,Simulium_lutzianum,,954
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Ephemeroptera,Baetidae,,,,,,8775
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Ephemeroptera,Baetidae,,,Andesiops,,,2637
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Ephemeroptera,Leptohyphidae,,,,,,397
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Ephemeroptera,Leptohyphidae,,,Leptohyphes,,,8170
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Ephemeroptera,Leptophlebiidae,,,Thraulodes,,,1235
EC20210922-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Plecoptera,Perlidae,,,Anacroneuria,,,8
EC20210923-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Coleoptera,,,,,,,61
EC20210923-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Coleoptera,Elmidae,,,,,,321
EC20210923-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Coleoptera,Elmidae,,,Notelmis,,,4959
EC20210923-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,,,,,,,43
EC20210923-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Ceratopogonidae,,,,,,2
EC20210923-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,,,,,,1091
EC20210923-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,,,Cricotopus,,,145
EC20210923-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Chironomidae,,,Orthocladius,,,603
EC20210923-1K,Metabarcoding ,Eukaryota,Arthropoda,Insecta,,Diptera,Muscidae,,,Atherigona,,,2
